symbol,date,closure,opening,variation
BTCUSD,2022-03-04,39,175.3,42,526.6,-7.89
BTCUSD,2022-03-03,42,528.8,43,977.7,-3.30
BTCUSD,2022-03-02,43,981.3,44,409.4,-0.97
BTCUSD,2022-03-01,44,410.7,43,222.2,2.70
BTCUSD,2022-02-28,43,241.4,37,752.4,10.08
BTCUSD,2022-02-25,39,281.7,38,383.9,2.42
BTCUSD,2022-02-24,38,352.8,37,331.8,2.64
BTCUSD,2022-02-23,37,365.4,38,308.3,-2.60
BTCUSD,2022-02-22,38,362.1,37,130.0,3.41
BTCUSD,2022-02-21,37,098.3,38,499.2,-7.41
BTCUSD,2022-02-18,40,066.8,40,595.2,-1.32
BTCUSD,2022-02-17,40,601.8,43,997.4,-7.83
BTCUSD,2022-02-16,44,050.9,44,605.3,-1.39
BTCUSD,2022-02-15,44,670.7,42,722.4,4.52
BTCUSD,2022-02-14,42,739.4,42, 197.5,0.72
