date,variation
4/11/2022,0.
4/12/2022,0.023
4/13/2022,-0.004
4/14/2022,-0.001
4/15/2022,0.004
4/18/2022,0
4/19/2022,0
4/20/2022,-0.006
4/21/2022,0.04
4/22/2022,-0.027
4/25/2022,-0.007
4/26/2022,0.014
4/27/2022,-0.034
4/28/2022,-0.022
4/29/2022,0.011
5/2/2022,0.006
5/3/2022,-0.002
5/5/2022,0.021
5/6/2022,-0.023
